,user_id,purchases
0,1984,117
1,3276,70
2,4360,67
3,806,64
4,500,63
5,2112,62
6,241,60
7,6728,52
8,75,51
9,916,50
10,1088,49
11,918,48
12,2138,48
13,3241,47
14,669,46
15,1810,44
16,2264,43
17,993,43
18,3395,43
19,289,41
20,1308,38
21,5519,38
22,3419,37
23,6051,37
24,6152,37
25,2488,36
26,5303,36
27,415,35
28,2741,34
29,404,34
30,19,34
31,4130,34
32,2590,33
33,3831,33
34,364,33
35,3323,32
36,3793,31
37,4054,31
38,1185,31
39,1953,30
40,1879,30
41,298,30
42,1311,29
43,1376,29
44,1336,29
45,405,28
46,2689,28
47,1878,28
48,1184,28
49,2397,28
50,1256,28
51,2355,28
52,3594,28
53,1509,28
54,4221,28
55,6030,28
56,4501,27
57,2560,27
58,2115,27
59,1407,27
60,1750,27
61,839,27
62,3845,26
63,214,26
64,4426,26
65,6963,26
66,1971,26
67,1782,26
68,1838,25
69,2727,25
70,1419,25
71,5226,25
72,2353,25
73,142,25
74,185,25
75,1156,24
76,1187,24
77,1224,24
78,1035,24
79,1030,24
80,4408,24
81,827,24
82,4709,24
83,3464,24
84,4486,24
85,3932,23
86,3486,23
87,6731,23
88,557,23
89,4973,23
90,2875,23
91,639,22
92,4783,22
93,1444,22
94,662,22
95,1495,22
96,2249,22
97,2015,22
98,3935,22
99,4571,22
100,2698,21
101,511,21
102,3948,21
103,4497,21
104,2315,21
105,922,21
106,2188,21
107,3226,21
108,906,21
109,2597,21
110,1988,21
111,3631,20
112,2768,20
113,3847,20
114,609,20
115,3996,20
116,4913,20
117,2066,20
118,627,20
119,3776,20
120,3893,20
121,367,20
122,1747,20
123,2615,20
124,2570,20
125,1464,20
126,6228,20
127,2953,20
128,27,20
129,6777,20
130,3254,19
131,2279,19
132,2543,19
133,5453,19
134,2991,19
135,1237,19
136,2104,19
137,319,19
138,2368,19
139,99,19
140,427,19
141,926,19
142,809,19
143,3021,19
144,2735,19
145,2642,19
146,5849,19
147,1920,19
148,1109,19
149,228,19
150,4534,18
151,613,18
152,2231,18
153,5400,18
154,3003,18
155,2453,18
156,986,18
157,507,18
158,2045,18
159,4073,18
160,2051,18
161,4362,18
162,2725,18
163,928,18
164,3198,18
165,10,18
166,1909,18
167,4032,18
168,743,18
169,2308,18
170,2310,18
171,2364,18
172,1379,18
173,1281,17
174,4068,17
175,631,17
176,3347,17
177,2199,17
178,5407,17
179,1144,17
180,4141,17
181,2925,17
182,848,17
183,4627,17
184,589,17
185,3557,17
186,6055,17
187,1614,17
188,4744,17
189,25,17
190,4752,17
191,4206,17
192,4337,17
193,984,17
194,1688,17
195,2732,17
196,3292,16
197,2970,16
198,2588,16
199,1206,16
200,3359,16
201,1105,16
202,103,16
203,963,16
204,761,16
205,760,16
206,1968,16
207,3864,16
208,2166,16
209,637,16
210,1425,16
211,179,16
212,1382,16
213,646,16
214,2934,16
215,2147,16
216,4477,16
217,4215,16
218,5885,16
219,4982,16
220,2110,16
221,1273,16
222,293,15
223,691,15
224,680,15
225,994,15
226,5350,15
227,5149,15
228,2672,15
229,4310,15
230,4075,15
231,653,15
232,335,15
233,2152,15
234,1164,15
235,3275,15
236,1398,15
237,436,15
238,2340,15
239,3927,15
240,1617,15
241,2356,15
242,1981,15
243,2120,15
244,1125,15
245,4473,15
246,3789,15
247,1108,15
248,5824,15
249,2486,15
250,1629,15
251,2177,15
252,1089,15
253,4875,14
254,5997,14
255,466,14
256,4885,14
257,4679,14
258,2723,14
259,1594,14
260,2344,14
261,3011,14
262,3430,14
263,2920,14
264,5416,14
265,42,14
266,6603,14
267,385,14
268,1290,14
269,4487,14
270,5790,14
271,968,14
272,1892,14
273,1366,14
274,473,14
275,2650,14
276,3232,14
277,6089,14
278,105,14
279,5320,14
280,143,14
281,6308,14
282,1825,14
283,3805,14
284,559,14
285,3666,14
286,3080,14
287,85,14
288,5228,14
289,3992,14
290,1891,14
291,136,14
292,7146,13
293,523,13
294,3441,13
295,354,13
296,2198,13
297,431,13
298,2089,13
299,5712,13
300,1221,13
301,6974,13
302,3726,13
303,1533,13
304,1927,13
305,2620,13
306,6258,13
307,6136,13
308,1899,13
309,2935,13
310,435,13
311,1921,13
312,4223,13
313,1926,13
314,1492,13
315,4834,13
316,2749,13
317,3643,13
318,2753,13
319,784,13
320,5323,13
321,3764,13
322,1963,13
323,5515,13
324,1499,13
325,1401,13
326,2554,13
327,607,13
328,601,13
329,1792,13
330,1934,13
331,4959,12
332,6461,12
333,7005,12
334,2038,12
335,2150,12
336,4470,12
337,3410,12
338,779,12
339,2608,12
340,4635,12
341,3923,12
342,7414,12
343,460,12
344,153,12
345,1976,12
346,7284,12
347,4590,12
348,93,12
349,5464,12
350,2121,12
351,4531,12
352,1421,12
353,38,12
354,4576,12
355,3049,12
356,3778,12
357,6191,12
358,3690,12
359,2515,12
360,4155,12
361,330,12
362,539,12
363,2525,12
364,5027,12
365,1040,12
366,8310,12
367,1789,12
368,1621,12
369,6176,12
370,652,12
371,3658,12
372,1380,12
373,4251,12
374,2514,12
375,1087,12
376,6817,12
377,1060,12
378,1258,12
379,3442,12
380,976,11
381,5477,11
382,5148,11
383,564,11
384,2100,11
385,1739,11
386,5223,11
387,3868,11
388,3431,11
389,2573,11
390,4578,11
391,1570,11
392,2362,11
393,137,11
394,1816,11
395,2027,11
396,469,11
397,2029,11
398,763,11
399,4257,11
400,4270,11
401,6588,11
402,4192,11
403,2765,11
404,1062,11
405,3823,11
406,2024,11
407,1052,11
408,4325,11
409,2391,11
410,530,11
411,1347,11
412,8945,11
413,4714,11
414,4482,11
415,414,11
416,2955,11
417,6633,11
418,2571,11
419,3534,11
420,2671,11
421,6690,11
422,192,11
423,571,11
424,86,11
425,176,11
426,3459,11
427,2481,11
428,1090,11
429,2295,11
430,3919,11
431,5212,11
432,3607,11
433,4019,11
434,5919,11
435,2119,11
436,6838,11
437,327,11
438,3202,11
439,877,11
440,5906,11
441,168,11
442,4010,11
443,4467,11
444,1518,11
445,5325,10
446,1319,10
447,6709,10
448,2593,10
449,4994,10
450,512,10
451,1649,10
452,5010,10
453,2606,10
454,4882,10
455,9,10
456,586,10
457,8412,10
458,738,10
459,5428,10
460,5420,10
461,5060,10
462,1713,10
463,23,10
464,483,10
465,634,10
466,5213,10
467,5366,10
468,503,10
469,583,10
470,481,10
471,479,10
472,7447,10
473,2304,10
474,1528,10
475,5923,10
476,1236,10
477,5810,10
478,924,10
479,352,10
480,4466,10
481,4453,10
482,4448,10
483,2941,10
484,1146,10
485,9496,10
486,5909,10
487,7926,10
488,1932,10
489,2982,10
490,1274,10
491,6632,10
492,4356,10
493,6597,10
494,4803,10
495,1506,10
496,63,10
497,5981,10
498,4249,10
499,232,10
500,1074,10
501,3369,10
502,4113,10
503,4126,10
504,6575,10
505,1474,10
506,4476,10
507,2002,10
508,2136,10
509,5684,10
510,3540,10
511,4778,10
512,6441,10
513,29,10
514,2393,10
515,7340,10
516,3282,10
517,6400,10
518,6900,10
519,1564,10
520,6664,10
521,3865,10
522,39,10
523,145,10
524,4511,10
525,6773,10
526,6837,10
527,4502,10
528,5685,10
529,6297,10
530,898,10
531,2129,10
532,4043,9
533,3122,9
534,3112,9
535,8593,9
536,3140,9
537,1053,9
538,4170,9
539,3782,9
540,3243,9
541,1394,9
542,4042,9
543,3261,9
544,5204,9
545,1333,9
546,1099,9
547,3317,9
548,3177,9
549,1426,9
550,3941,9
551,3204,9
552,3264,9
553,2639,9
554,1438,9
555,1432,9
556,4804,9
557,671,9
558,3088,9
559,4565,9
560,716,9
561,2933,9
562,907,9
563,722,9
564,905,9
565,8672,9
566,4955,9
567,1538,9
568,4567,9
569,5132,9
570,4925,9
571,868,9
572,857,9
573,4664,9
574,4677,9
575,4688,9
576,2777,9
577,4795,9
578,3392,9
579,4431,9
580,5018,9
581,2947,9
582,3074,9
583,5123,9
584,1260,9
585,2668,9
586,5114,9
587,8015,9
588,5102,9
589,4247,9
590,1006,9
591,3018,9
592,677,9
593,1636,9
594,2682,9
595,2683,9
596,5043,9
597,4409,9
598,4419,9
599,992,9
600,5090,9
601,2031,9
602,5312,9
603,6772,9
604,534,9
605,6314,9
606,2335,9
607,6313,9
608,362,9
609,186,9
610,1690,9
611,322,9
612,5936,9
613,2275,9
614,2274,9
615,552,9
616,7008,9
617,306,9
618,1748,9
619,2078,9
620,6609,9
621,1734,9
622,5536,9
623,76,9
624,1716,9
625,6585,9
626,5421,9
627,101,9
628,6471,9
629,7461,9
630,6443,9
631,5635,9
632,6433,9
633,5649,9
634,2493,9
635,7307,9
