0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,
1,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,0.5,,,,,,,0.5,0.5
1,0.111111111,0.138888889,0.194444444,0.111111111,0.027777778,0.138888889,0.194444444,0.138888889,0.111111111,,0.027777778,0.111111111,0.111111111,0.083333333,0.027777778,,0.194444444,0.111111111,0.111111111,0.027777778,,0.138888889,0.166666667,0.166666667,0.111111111,0.083333333,0.027777778,0.138888889,0.138888889,0.083333333,0.111111111,,0.138888889,0.138888889,0.055555556,0.055555556
1,0.146067416,0.137640449,0.137640449,0.053370787,0.129213483,0.126404494,0.154494382,0.092696629,0.058988764,0.095505618,0.132022472,0.08988764,0.081460674,0.056179775,0.019662921,0.126404494,0.087078652,0.106741573,0.087078652,,0.073033708,0.075842697,0.058988764,0.087078652,0.033707865,0.070224719,0.064606742,0.123595506,0.081460674,0.058988764,0.019662921,0.095505618,0.106741573,0.084269663,0.095505618,
1,0.136942675,0.117834395,0.041401274,0.095541401,0.152866242,0.133757962,0.121019108,0.044585987,0.089171975,0.095541401,0.073248408,0.054140127,0.057324841,0.022292994,0.124203822,0.098726115,0.095541401,0.098726115,,0.092356688,0.070063694,0.066878981,0.092356688,0.035031847,0.076433121,0.098726115,0.111464968,0.108280255,0.076433121,0.01910828,0.089171975,0.076433121,0.066878981,0.076433121,,
1,0.10230179,0.043478261,0.089514066,0.122762148,0.122762148,0.112531969,0.030690537,0.066496164,0.086956522,0.097186701,0.074168798,0.061381074,0.020460358,0.122762148,0.099744246,0.099744246,0.086956522,0.002557545,0.084398977,0.081841432,0.069053708,0.089514066,0.035805627,0.05370844,0.063938619,0.117647059,0.084398977,0.043478261,0.025575448,0.071611253,0.079283887,0.089514066,0.081841432,,,
1,0.062305296,0.115264798,0.124610592,0.118380062,0.115264798,0.034267913,0.080996885,0.109034268,0.096573209,0.052959502,0.052959502,0.024922118,0.090342679,0.105919003,0.109034268,0.112149533,,0.096573209,0.080996885,0.07788162,0.090342679,0.028037383,0.040498442,0.07165109,0.115264798,0.080996885,0.068535826,0.040498442,0.109034268,0.093457944,0.056074766,0.074766355,,,,
1,0.120481928,0.180722892,0.180722892,0.096385542,0.048192771,0.072289157,0.108433735,0.084337349,0.048192771,0.060240964,0.024096386,0.156626506,0.144578313,0.096385542,0.13253012,,0.084337349,0.036144578,0.048192771,0.072289157,0.048192771,0.012048193,0.084337349,0.072289157,0.072289157,0.084337349,0.012048193,0.096385542,0.120481928,0.072289157,0.108433735,,,,,
1,0.126315789,0.097368421,0.086842105,0.042105263,0.071052632,0.076315789,0.071052632,0.060526316,0.057894737,0.021052632,0.094736842,0.089473684,0.084210526,0.071052632,,0.094736842,0.094736842,0.063157895,0.078947368,0.026315789,0.044736842,0.092105263,0.097368421,0.071052632,0.052631579,0.023684211,0.052631579,0.068421053,0.078947368,0.071052632,,,,,,
1,0.136871508,0.111731844,0.061452514,0.108938547,0.125698324,0.108938547,0.097765363,0.053072626,0.030726257,0.12849162,0.122905028,0.12849162,0.103351955,,0.117318436,0.117318436,0.06424581,0.103351955,0.053072626,0.072625698,0.117318436,0.122905028,0.092178771,0.086592179,0.033519553,0.103351955,0.108938547,0.075418994,0.100558659,,,,,,,
1,0.1125,0.0225,0.09,0.105,0.095,0.09,0.0525,0.02,0.115,0.1125,0.115,0.0975,,0.105,0.0925,0.0875,0.1125,0.0375,0.055,0.0875,0.0925,0.0675,0.08,0.025,0.0625,0.08,0.0875,0.0675,,,,,,,,
1,0.061093248,0.109324759,0.083601286,0.067524116,0.077170418,0.048231511,0.012861736,0.125401929,0.112540193,0.106109325,0.090032154,,0.096463023,0.08681672,0.077170418,0.106109325,0.051446945,0.045016077,0.128617363,0.08681672,0.118971061,0.061093248,0.035369775,0.080385852,0.096463023,0.08681672,0.106109325,,,,,,,,,
1,0.088495575,0.150442478,0.061946903,0.044247788,0.03539823,0.017699115,0.14159292,0.088495575,0.044247788,0.061946903,,0.053097345,0.053097345,0.07079646,0.115044248,0.044247788,0.061946903,0.03539823,0.061946903,0.053097345,0.03539823,0.026548673,0.061946903,0.079646018,0.10619469,0.088495575,,,,,,,,,,
1,0.115044248,0.079646018,0.061946903,0.013274336,0.017699115,0.092920354,0.079646018,0.075221239,0.097345133,,0.07079646,0.088495575,0.048672566,0.061946903,0.03539823,0.030973451,0.097345133,0.066371681,0.079646018,0.079646018,0.017699115,0.044247788,0.048672566,0.066371681,0.061946903,,,,,,,,,,,
1,0.097087379,0.084142395,0.061488673,0.035598706,0.097087379,0.093851133,0.116504854,0.090614887,0.003236246,0.080906149,0.090614887,0.074433657,0.087378641,0.042071197,0.058252427,0.064724919,0.064724919,0.087378641,0.071197411,0.022653722,0.103559871,0.087378641,0.074433657,0.090614887,,,,,,,,,,,,
1,0.130769231,0.076923077,0.030769231,0.088461538,0.107692308,0.088461538,0.073076923,,0.111538462,0.084615385,0.084615385,0.092307692,0.046153846,0.046153846,0.084615385,0.103846154,0.107692308,0.065384615,0.030769231,0.092307692,0.119230769,0.069230769,0.107692308,,,,,,,,,,,,,
1,0.108333333,0.033333333,0.1125,0.120833333,0.125,0.108333333,,0.095833333,0.120833333,0.0875,0.083333333,0.020833333,0.058333333,0.0875,0.079166667,0.108333333,0.0625,0.0125,0.116666667,0.075,0.095833333,0.083333333,,,,,,,,,,,,,,
1,0.041025641,0.087179487,0.128205128,0.087179487,0.102564103,,0.076923077,0.071794872,0.087179487,0.112820513,0.025641026,0.082051282,0.092307692,0.092307692,0.092307692,0.041025641,0.041025641,0.071794872,0.066666667,0.087179487,0.071794872,,,,,,,,,,,,,,,
1,0.12962963,0.12962963,0.12962963,0.148148148,,0.111111111,0.092592593,0.074074074,0.111111111,0.018518519,0.055555556,0.055555556,0.092592593,0.092592593,0.055555556,0.018518519,0.092592593,0.111111111,0.074074074,0.074074074,,,,,,,,,,,,,,,,
